support,itemsets
0.2000071437501116,frozenset({'gender'})
0.2000071437501116,frozenset({'height'})
0.2000071437501116,frozenset({'weight'})
0.2000071437501116,frozenset({'ap_hi'})
0.2000071437501116,frozenset({'ap_lo'})
0.2000071437501116,frozenset({'cholesterol'})
0.2000071437501116,frozenset({'gluc'})
0.2000071437501116,frozenset({'smoke'})
0.2000071437501116,frozenset({'alco'})
0.2000071437501116,frozenset({'active'})
0.2000071437501116,frozenset({'age_years'})
0.2000071437501116,frozenset({'age_group'})
0.2000071437501116,frozenset({'bmi'})
0.2000071437501116,frozenset({'bmi_group'})
0.2000071437501116,frozenset({'pulse_pressure'})
0.2000071437501116,frozenset({'bp_stage'})
0.2000071437501116,frozenset({'cholesterol_category'})
0.2000071437501116,frozenset({'glucose_category'})
0.2000071437501116,frozenset({'lifestyle_risk'})
0.4997053203078956,frozenset({'cardio'})
0.060793313449895525,"frozenset({'ap_hi', 'gender'})"
0.04955976639937135,"frozenset({'cholesterol', 'gender'})"
0.04477345382458522,"frozenset({'alco', 'gender'})"
0.05875734466808351,"frozenset({'age_years', 'gender'})"
0.034736484917757576,"frozenset({'age_group', 'gender'})"
0.04173736002714625,"frozenset({'bmi', 'gender'})"
0.033289875520154305,"frozenset({'pulse_pressure', 'gender'})"
0.04797028199953566,"frozenset({'glucose_category', 'gender'})"
0.10381654849713357,"frozenset({'cardio', 'gender'})"
0.03998714124979908,"frozenset({'ap_hi', 'height'})"
0.03864768810387013,"frozenset({'height', 'cholesterol'})"
0.03214687550229493,"frozenset({'height', 'gluc'})"
0.044505563195399424,"frozenset({'active', 'height'})"
0.04279106316861036,"frozenset({'height', 'bmi_group'})"
0.05084564141946315,"frozenset({'height', 'pulse_pressure'})"
0.059882485310663834,"frozenset({'bp_stage', 'height'})"
0.05252442269569411,"frozenset({'lifestyle_risk', 'height'})"
0.09113639204900613,"frozenset({'cardio', 'height'})"
0.058739485292804455,"frozenset({'ap_hi', 'weight'})"
0.04984551640383619,"frozenset({'ap_lo', 'weight'})"
0.05239940706874074,"frozenset({'weight', 'gluc'})"
0.07427714178558034,"frozenset({'smoke', 'weight'})"
0.03403996928187452,"frozenset({'weight', 'alco'})"
0.03879056310610255,"frozenset({'weight', 'bmi_group'})"
0.050166985158859145,"frozenset({'weight', 'pulse_pressure'})"
0.04380904755951637,"frozenset({'bp_stage', 'weight'})"
0.03218259425285303,"frozenset({'cholesterol_category', 'weight'})"
0.04327326630114479,"frozenset({'weight', 'lifestyle_risk'})"
0.10640615791259622,"frozenset({'cardio', 'weight'})"
0.035825906809779796,"frozenset({'ap_hi', 'cholesterol'})"
0.046327219473862806,"frozenset({'ap_hi', 'gluc'})"
0.04330898505170289,"frozenset({'ap_hi', 'alco'})"
0.0384690943510796,"frozenset({'active', 'ap_hi'})"
0.04238029753719215,"frozenset({'ap_hi', 'age_group'})"
0.059346704052292254,"frozenset({'ap_hi', 'glucose_category'})"
0.07704534495383351,"frozenset({'cardio', 'ap_hi'})"
0.059953922811780046,"frozenset({'ap_lo', 'cholesterol'})"
0.07915275123676174,"frozenset({'ap_lo', 'smoke'})"
0.05791795402996803,"frozenset({'ap_lo', 'active'})"
0.05300662582822853,"frozenset({'ap_lo', 'age_group'})"
0.030414516100226816,"frozenset({'ap_lo', 'bmi'})"
0.0541496258460879,"frozenset({'ap_lo', 'pulse_pressure'})"
0.13062347079099174,"frozenset({'cardio', 'ap_lo'})"
0.03675459432429053,"frozenset({'cholesterol', 'gluc'})"
0.0312896254889004,"frozenset({'age_group', 'cholesterol'})"
0.03745110996017359,"frozenset({'cholesterol', 'pulse_pressure'})"
0.039237047488078866,"frozenset({'bp_stage', 'cholesterol'})"
0.030343078599110604,"frozenset({'cholesterol_category', 'cholesterol'})"
0.10770989230796707,"frozenset({'cardio', 'cholesterol'})"
0.031307484864179454,"frozenset({'smoke', 'gluc'})"
0.04680942260639723,"frozenset({'active', 'gluc'})"
0.03596878181201221,"frozenset({'gluc', 'age_years'})"
0.030093047345203863,"frozenset({'gluc', 'bmi_group'})"
0.04588073509188648,"frozenset({'gluc', 'pulse_pressure'})"
0.04034432875538014,"frozenset({'cholesterol_category', 'gluc'})"
0.03159323486864429,"frozenset({'lifestyle_risk', 'gluc'})"
0.08626078259782473,"frozenset({'cardio', 'gluc'})"
0.05284589145071705,"frozenset({'smoke', 'alco'})"
0.032379047380922614,"frozenset({'active', 'smoke'})"
0.057167860268247814,"frozenset({'smoke', 'age_years'})"
0.05030986016109156,"frozenset({'smoke', 'age_group'})"
0.04004071937563624,"frozenset({'smoke', 'pulse_pressure'})"
0.05431036022359938,"frozenset({'cholesterol_category', 'smoke'})"
0.12171164252674442,"frozenset({'cardio', 'smoke'})"
