antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_key,stability,rank_score
"frozenset({'ap_lo', 'smoke'})",frozenset({'cardio'}),0.0852606575821977,0.4997053203078956,0.066401157287518,0.7788018433179723,1.5585222163296364,1.0,0.0237959530807441,2.261748864441388,0.391769026171524,0.1280479404876704,0.557864263481356,0.4558412361693507,ap_lo|smoke,,0.723580158159597
"frozenset({'bp_stage', 'age_years'})",frozenset({'cardio'}),0.0713660636150947,0.4997053203078956,0.0517921883092529,0.7257257257257258,1.452307382436046,1.0,0.0161301866313583,1.8240670985854468,0.3353749188447876,0.0997386160407208,0.451774553263148,0.4146855933846642,age_years|bp_stage,,0.458172871100452
"frozenset({'ap_lo', 'active'})",frozenset({'cardio'}),0.0567392352615505,0.4997053203078956,0.0440055006875859,0.775574441296821,1.552063605844635,1.0,0.0156526029571877,2.229223278235366,0.3770924456677827,0.0858746035618443,0.5514132613976688,0.4318186716848651,active|ap_lo,,0.4236890457700741
frozenset({'ap_lo'}),frozenset({'cardio'}),0.2000071437501116,0.4997053203078956,0.1350704552354758,0.6753281542994911,1.351452799988971,1.0,0.035125821403959,1.5409241248272494,0.3250723391741723,0.2392143218623482,0.3510387799839862,0.472814184369188,ap_lo,,0.3999892625136461
"frozenset({'ap_lo', 'cholesterol_category'})",frozenset({'cardio'}),0.0488275320129301,0.4997053203078956,0.0347543442930366,0.7117776152158011,1.424394710821242,1.0,0.0103549667686713,1.7357939775104234,0.3132422532815698,0.0676446051167964,0.4238947634590493,0.3906636467787368,ap_lo|cholesterol_category,,0.16008799265141482
"frozenset({'bp_stage', 'weight'})",frozenset({'cardio'}),0.0495954851499294,0.4997053203078956,0.0348615005447109,0.7029168167086784,1.4066626632583643,1.0,0.0100783727520399,1.6840222127333018,0.3041836379173527,0.0677660128449922,0.4061836046824343,0.3863404669676344,bp_stage|weight,,0.1593179890802964
"frozenset({'alco', 'bmi'})",frozenset({'cardio'}),0.0576143446502241,0.4997053203078956,0.0378440162163127,0.6568505889646621,1.3144758766225275,1.0,0.009053821668543,1.457949987973558,0.2538668821545006,0.0728504142744181,0.3141054163387828,0.3662916275773989,alco|bmi,,0.15903662069821098
"frozenset({'bp_stage', 'cholesterol'})",frozenset({'cardio'}),0.0568821102637829,0.4997053203078956,0.0368974693265229,0.6486656200941915,1.2980962854157994,1.0,0.0084731761973702,1.4239844100262309,0.243491426612149,0.0709990034021787,0.2977451206916098,0.36125203806711,bp_stage|cholesterol,,0.12994284921300556
"frozenset({'cholesterol_category', 'smoke'})",frozenset({'cardio'}),0.0492204382690693,0.4997053203078956,0.0317182504955976,0.6444121915820029,1.2895844118388524,1.0,0.0071225356246573,1.4069511604402447,0.2361813322611264,0.0613259668508287,0.2892432743101806,0.3539430507588356,cholesterol_category|smoke,,0.04601577506891996
"frozenset({'bmi', 'gender'})",frozenset({'cardio'}),0.0432375475505866,0.4997053203078956,0.030843141106924,0.7133415943824866,1.42752451373333,1.0,0.0092371085588302,1.7452642932774995,0.3130208911819088,0.0602287786845225,0.4270208793866623,0.3875321267123298,bmi|gender,,0.018309500495311017
"frozenset({'ap_lo', 'age_group'})",frozenset({'cardio'}),0.0392370474880788,0.4997053203078956,0.0304502348507849,0.7760582612653618,1.553031816405697,1.0,0.0108432734678183,2.23403945382836,0.3706410488717124,0.0598833942118572,0.5523803313829795,0.4184973221980848,age_group|ap_lo,,4.999999979648064e-09
frozenset({'bp_stage'}),frozenset({'cardio'}),0.2000071437501116,0.4997053203078956,0.1240333613130212,0.6201446557728368,1.241020718752268,1.0,0.0240887274815044,1.3170663182585511,0.2427667678803404,0.215455729974561,0.2407367904433104,0.4341788325325942,bp_stage,,1.2499999996506442e-09
