feature,scope,group,mean_importance,std_importance,n_samples,model
active,global,all,0.006028547640581124,0.000928913690361706,5.0,rf
age_group,global,all,0.030315466176906846,0.009006614235788015,5.0,rf
age_years,global,all,0.08369884906770877,0.013204737467521047,5.0,rf
alco,global,all,0.0017824142091369933,0.000321121561541474,5.0,rf
ap_hi,global,all,0.30139954578735606,0.09095033424798604,5.0,rf
ap_lo,global,all,0.09477834067176148,0.02826096153949406,5.0,rf
bmi,global,all,0.040000461439348066,0.012224175582323337,5.0,rf
bmi_group,global,all,0.007143962803427694,0.003368753996728082,5.0,rf
bp_stage,global,all,0.17522280574485866,0.01628099548494223,5.0,rf
chol_high,global,all,0.018392835220206766,0.007556684902842419,5.0,rf
cholesterol,global,all,0.038384712439272106,0.003366325508339177,5.0,rf
cholesterol_category,global,all,0.040025796988753325,0.004400480503147074,5.0,rf
gender,global,all,0.0038216264196388365,0.0017027230418315373,5.0,rf
gluc,global,all,0.004122720720576416,0.0005429994653877804,5.0,rf
gluc_high,global,all,0.0024454510791875267,0.000737787212683161,5.0,rf
glucose_category,global,all,0.004172366541263639,0.0005206862834114833,5.0,rf
height,global,all,0.019447247281616977,0.008831680313309356,5.0,rf
lifestyle_risk,global,all,0.005638394919443449,0.0013036854501557,5.0,rf
overweight_flag,global,all,0.004205840040380946,0.002364445205637851,5.0,rf
pulse_pressure,global,all,0.08897845609190161,0.030824590472986094,5.0,rf
smoke,global,all,0.002058178532194915,0.0004949958348339502,5.0,rf
weight,global,all,0.027935980184477804,0.00943773162572693,5.0,rf
gender,fold,fold_0,0.006754816646975426,,,rf
height,fold,fold_0,0.034275018292642664,,,rf
weight,fold,fold_0,0.043778757433879226,,,rf
ap_hi,fold,fold_0,0.2338310807485125,,,rf
ap_lo,fold,fold_0,0.09764549679845583,,,rf
cholesterol,fold,fold_0,0.033399586409603214,,,rf
gluc,fold,fold_0,0.0044170821998229925,,,rf
smoke,fold,fold_0,0.0025239515032698823,,,rf
alco,fold,fold_0,0.0017277139691443798,,,rf
active,fold,fold_0,0.006946074757266951,,,rf
age_years,fold,fold_0,0.08698819222561366,,,rf
age_group,fold,fold_0,0.036886879006431485,,,rf
bmi,fold,fold_0,0.06063567942259801,,,rf
bmi_group,fold,fold_0,0.010260824377118496,,,rf
overweight_flag,fold,fold_0,0.005888824589064125,,,rf
pulse_pressure,fold,fold_0,0.09698739915158264,,,rf
bp_stage,fold,fold_0,0.16592397914286683,,,rf
chol_high,fold,fold_0,0.020447136101101503,,,rf
cholesterol_category,fold,fold_0,0.03572950807238804,,,rf
gluc_high,fold,fold_0,0.0029038308023860843,,,rf
glucose_category,fold,fold_0,0.004451086843731925,,,rf
lifestyle_risk,fold,fold_0,0.007597081505544098,,,rf
gender,fold,fold_1,0.003695185536958486,,,rf
height,fold,fold_1,0.01894118044271335,,,rf
weight,fold,fold_1,0.027580786390813728,,,rf
ap_hi,fold,fold_1,0.24604682144152434,,,rf
ap_lo,fold,fold_1,0.11485502143358244,,,rf
cholesterol,fold,fold_1,0.04108561015626817,,,rf
gluc,fold,fold_1,0.004702732234771343,,,rf
smoke,fold,fold_1,0.002556696977509457,,,rf
alco,fold,fold_1,0.0020535343042491394,,,rf
active,fold,fold_1,0.00598109261695323,,,rf
age_years,fold,fold_1,0.075265221352629,,,rf
age_group,fold,fold_1,0.0366562432222856,,,rf
bmi,fold,fold_1,0.039232652206259336,,,rf
bmi_group,fold,fold_1,0.009036626345634052,,,rf
overweight_flag,fold,fold_1,0.005944791386890487,,,rf
pulse_pressure,fold,fold_1,0.10947839537946781,,,rf
bp_stage,fold,fold_1,0.1770489780523798,,,rf
chol_high,fold,fold_1,0.02254896608060034,,,rf
cholesterol_category,fold,fold_1,0.043234618849263946,,,rf
gluc_high,fold,fold_1,0.003064929361510317,,,rf
glucose_category,fold,fold_1,0.004805578683104458,,,rf
lifestyle_risk,fold,fold_1,0.0061843375446311525,,,rf
gender,fold,fold_2,0.002504725073647648,,,rf
height,fold,fold_2,0.010746437031572591,,,rf
weight,fold,fold_2,0.018754040269456183,,,rf
ap_hi,fold,fold_2,0.2681554119670382,,,rf
ap_lo,fold,fold_2,0.11932480394133885,,,rf
cholesterol,fold,fold_2,0.04190725756940783,,,rf
gluc,fold,fold_2,0.0037451282629428393,,,rf
smoke,fold,fold_2,0.001757370306035305,,,rf
alco,fold,fold_2,0.0013920923206454312,,,rf
active,fold,fold_2,0.004781837095494469,,,rf
age_years,fold,fold_2,0.07280614648888697,,,rf
age_group,fold,fold_2,0.03417250711683479,,,rf
bmi,fold,fold_2,0.02853332816195161,,,rf
bmi_group,fold,fold_2,0.008734614813842282,,,rf
overweight_flag,fold,fold_2,0.005752620754637513,,,rf
pulse_pressure,fold,fold_2,0.10108323622022972,,,rf
bp_stage,fold,fold_2,0.19338173079211723,,,rf
chol_high,fold,fold_2,0.025638465996374194,,,rf
cholesterol_category,fold,fold_2,0.04595641412768467,,,rf
gluc_high,fold,fold_2,0.0025621981832880613,,,rf
glucose_category,fold,fold_2,0.003851058233101013,,,rf
lifestyle_risk,fold,fold_2,0.004458575273472498,,,rf
gender,fold,fold_3,0.003334983408324968,,,rf
height,fold,fold_3,0.016204314149567953,,,rf
weight,fold,fold_3,0.024085029300909423,,,rf
ap_hi,fold,fold_3,0.4574548151433044,,,rf
ap_lo,fold,fold_3,0.04808497791413646,,,rf
cholesterol,fold,fold_3,0.03782564246110181,,,rf
gluc,fold,fold_3,0.003379173848080447,,,rf
smoke,fold,fold_3,0.0014070407533794604,,,rf
alco,fold,fold_3,0.0015791016631102662,,,rf
active,fold,fold_3,0.006917651834485322,,,rf
age_years,fold,fold_3,0.10528699745495117,,,rf
age_group,fold,fold_3,0.015388406120083378,,,rf
bmi,fold,fold_3,0.03730741740019926,,,rf
bmi_group,fold,fold_3,0.0018708474106572397,,,rf
overweight_flag,fold,fold_3,0.000780893410532883,,,rf
