feature,scope,group,mean_attention,std_attention,n_samples,model
gender,global,all,0.0548343062400817,0.0972539857029914,55993,tabnet
height,global,all,0.0611393563449382,0.1012227535247802,55993,tabnet
weight,global,all,0.0496377013623714,0.088919922709465,55993,tabnet
ap_hi,global,all,0.0392083786427974,0.0842759683728218,55993,tabnet
ap_lo,global,all,0.0480317175388336,0.0916730463504791,55993,tabnet
cholesterol,global,all,0.0440502353012561,0.0837458074092865,55993,tabnet
gluc,global,all,0.0408332347869873,0.0837703347206115,55993,tabnet
smoke,global,all,0.0608265846967697,0.1000241413712501,55993,tabnet
alco,global,all,0.0452918149530887,0.0856280922889709,55993,tabnet
active,global,all,0.0597088709473609,0.0965007096529007,55993,tabnet
age_years,global,all,0.0407152324914932,0.083306573331356,55993,tabnet
age_group,global,all,0.0523695945739746,0.0934693217277526,55993,tabnet
bmi,global,all,0.0754530727863311,0.1079200059175491,55993,tabnet
bmi_group,global,all,0.0625717565417289,0.0994685888290405,55993,tabnet
pulse_pressure,global,all,0.072105199098587,0.1083305776119232,55993,tabnet
bp_stage,global,all,0.050544623285532,0.0923198983073234,55993,tabnet
cholesterol_category,global,all,0.0389106944203376,0.0782438665628433,55993,tabnet
glucose_category,global,all,0.0629135742783546,0.1015220433473587,55993,tabnet
lifestyle_risk,global,all,0.0408460572361946,0.0852852836251258,55993,tabnet
