fold,set,oof_index,sample_id
0,train,0,97426
0,train,1,12779
0,train,2,62477
0,train,3,71400
0,train,4,18203
0,train,6,60331
0,train,7,79404
0,train,8,96036
0,train,9,33936
0,train,10,82321
0,train,11,85560
0,train,12,76396
0,train,13,52020
0,train,14,26493
0,train,15,28097
0,train,17,93238
0,train,18,17425
0,train,19,66652
0,train,20,72243
0,train,21,71313
0,train,22,23403
0,train,23,9665
0,train,24,58418
0,train,25,34100
0,train,26,70331
0,train,27,48738
0,train,28,16544
0,train,30,6070
0,train,31,44133
0,train,32,24656
0,train,35,53371
0,train,36,77244
0,train,37,45717
0,train,38,28171
0,train,39,79250
0,train,40,58603
0,train,41,21486
0,train,42,98927
0,train,43,63115
0,train,44,31821
0,train,45,78461
0,train,46,19357
0,train,47,95720
0,train,48,55664
0,train,50,42219
0,train,52,75558
0,train,53,91721
0,train,54,24337
0,train,56,15143
0,train,57,30838
0,train,58,28646
0,train,59,60926
0,train,60,40501
0,train,61,41826
0,train,62,24912
0,train,63,76039
0,train,64,27280
0,train,65,59336
0,train,66,76749
0,train,67,41309
0,train,68,82727
0,train,69,89018
0,train,70,21956
0,train,71,65524
0,train,72,45819
0,train,73,67403
0,train,76,20665
0,train,77,72893
0,train,78,34317
0,train,79,21108
0,train,80,53650
0,train,81,76250
0,train,82,33127
0,train,83,58977
0,train,84,67733
0,train,85,59196
0,train,86,21650
0,train,87,80160
0,train,89,35914
0,train,90,50366
0,train,91,79881
0,train,92,10154
0,train,93,19758
0,train,94,83454
0,train,95,42710
0,train,96,87476
0,train,97,25000
0,train,98,55274
0,train,100,30376
0,train,101,53588
0,train,102,57094
0,train,103,67191
0,train,104,11282
0,train,105,28151
0,train,106,55528
0,train,107,78235
0,train,108,63012
0,train,109,61627
0,train,110,67817
0,train,111,14294
0,train,112,22906
0,train,113,19022
0,train,114,96496
0,train,115,20923
0,train,116,53435
0,train,118,44736
0,train,119,61846
0,train,120,22018
0,train,121,88633
0,train,122,21813
0,train,123,51861
0,train,124,33559
0,train,126,72230
0,train,128,30574
0,train,132,4996
0,train,133,62302
0,train,134,86068
0,train,135,55988
0,train,137,60021
0,train,139,79526
0,train,140,96820
0,train,141,46440
0,train,143,70224
0,train,144,66499
0,train,145,53323
0,train,146,43608
0,train,147,8532
0,train,148,17782
0,train,150,33322
0,train,151,74698
0,train,152,75554
0,train,153,44487
