fold,set,oof_index,sample_id
1,train,0,97426
1,train,2,62477
1,train,3,71400
1,train,5,90587
1,train,6,60331
1,train,7,79404
1,train,8,96036
1,train,10,82321
1,train,11,85560
1,train,12,76396
1,train,13,52020
1,train,15,28097
1,train,16,8517
1,train,17,93238
1,train,18,17425
1,train,19,66652
1,train,20,72243
1,train,21,71313
1,train,22,23403
1,train,24,58418
1,train,26,70331
1,train,28,16544
1,train,29,87730
1,train,30,6070
1,train,32,24656
1,train,33,21034
1,train,34,72712
1,train,36,77244
1,train,37,45717
1,train,38,28171
1,train,41,21486
1,train,42,98927
1,train,46,19357
1,train,47,95720
1,train,48,55664
1,train,49,21490
1,train,50,42219
1,train,51,58146
1,train,52,75558
1,train,53,91721
1,train,54,24337
1,train,55,91812
1,train,56,15143
1,train,57,30838
1,train,58,28646
1,train,59,60926
1,train,60,40501
1,train,61,41826
1,train,63,76039
1,train,64,27280
1,train,66,76749
1,train,67,41309
1,train,68,82727
1,train,69,89018
1,train,70,21956
1,train,71,65524
1,train,72,45819
1,train,73,67403
1,train,74,87248
1,train,75,42202
1,train,77,72893
1,train,78,34317
1,train,79,21108
1,train,80,53650
1,train,81,76250
1,train,82,33127
1,train,83,58977
1,train,84,67733
1,train,85,59196
1,train,86,21650
1,train,88,76438
1,train,89,35914
1,train,91,79881
1,train,92,10154
1,train,94,83454
1,train,95,42710
1,train,96,87476
1,train,97,25000
1,train,98,55274
1,train,99,29577
1,train,101,53588
1,train,105,28151
1,train,106,55528
1,train,108,63012
1,train,109,61627
1,train,110,67817
1,train,111,14294
1,train,112,22906
1,train,113,19022
1,train,114,96496
1,train,115,20923
1,train,116,53435
1,train,117,63267
1,train,120,22018
1,train,121,88633
1,train,122,21813
1,train,123,51861
1,train,124,33559
1,train,125,75837
1,train,126,72230
1,train,127,76576
1,train,128,30574
1,train,129,13927
1,train,130,48942
1,train,131,9213
1,train,132,4996
1,train,134,86068
1,train,135,55988
1,train,136,69277
1,train,138,84934
1,train,140,96820
1,train,142,38432
1,train,144,66499
1,train,145,53323
1,train,146,43608
1,train,148,17782
1,train,149,12488
1,train,150,33322
1,train,152,75554
1,train,155,21798
1,train,158,65995
1,train,160,25778
1,train,161,98964
1,train,162,50283
1,train,164,22953
1,train,166,59676
1,train,167,24852
1,train,168,96318
1,train,170,11571
1,train,172,48263
1,train,173,18668
1,train,174,33337
1,train,176,29476
1,train,177,98447
1,train,178,75591
1,train,179,16092
1,train,180,8817
1,train,181,36339
1,train,183,35426
1,train,184,11554
1,train,185,3125
1,train,186,33803
1,train,187,57694
1,train,188,48763
1,train,190,34740
1,train,191,45009
1,train,192,33531
1,train,194,16315
1,train,195,12797
1,train,197,8219
1,train,198,10976
1,train,199,77495
1,train,200,29543
1,train,201,83165
1,train,202,83565
1,train,206,13052
1,train,207,30413
1,train,209,9170
1,train,210,23911
1,train,211,94039
1,train,212,2409
1,train,213,43469
1,train,214,65675
1,train,215,96970
1,train,216,57682
1,train,218,74116
