,age,gender,height,weight,ap_hi,ap_lo,cholesterol,gluc,smoke,alco,active,cardio
age,1.0,-0.022810651720422917,-0.0815153491576953,0.05368404307372349,0.020764319327034205,0.01764743402393543,0.15442374182535876,0.09870277209751656,-0.047632809764331444,-0.02972286685404984,-0.00992735436721258,0.23815922744230858
gender,-0.022810651720422917,1.0,0.49903342844223786,0.1554056400900013,0.00600530857162091,0.015253971163320432,-0.03582141277706407,-0.02049103516648683,0.3381351363580942,0.17096642854779198,0.005865669226986611,0.008109491913122303
height,-0.0815153491576953,0.49903342844223786,1.0,0.2909678349914982,0.005487764158405639,0.00615046726964078,-0.050225951532755594,-0.018594670495624126,0.18798939943796816,0.09441869305071587,-0.0065695471456384946,-0.010821058331004968
weight,0.05368404307372349,0.1554056400900013,0.2909678349914982,1.0,0.03070220865158162,0.04370977264398541,0.14176790555397975,0.10685726474113197,0.06778046548894393,0.06711284122570471,-0.016866746142632262,0.18165956179862644
ap_hi,0.020764319327034205,0.00600530857162091,0.005487764158405639,0.03070220865158162,1.0,0.016085513403423343,0.02377792155772579,0.011840678012419897,-0.0009220248295481188,0.001408333447866744,-3.3002483234008005e-05,0.0544750539268658
ap_lo,0.01764743402393543,0.015253971163320432,0.00615046726964078,0.04370977264398541,0.016085513403423343,1.0,0.024019290309646137,0.01080566550081921,0.0051861303835693305,0.010601240270464442,0.0047802581509210785,0.06571869614919029
cholesterol,0.15442374182535876,-0.03582141277706407,-0.050225951532755594,0.14176790555397975,0.02377792155772579,0.024019290309646137,1.0,0.45157752367575765,0.010354415140989674,0.035760385571259184,0.00991129748983678,0.2211472739123984
gluc,0.09870277209751656,-0.02049103516648683,-0.018594670495624126,0.10685726474113197,0.011840678012419897,0.01080566550081921,0.45157752367575765,1.0,-0.004756483147566186,0.011245770627447247,-0.0067695181911655265,0.08930688732430267
smoke,-0.047632809764331444,0.3381351363580942,0.18798939943796816,0.06778046548894393,-0.0009220248295481188,0.0051861303835693305,0.010354415140989674,-0.004756483147566186,1.0,0.3400937678696848,0.025857968781841337,-0.015485935661367778
alco,-0.02972286685404984,0.17096642854779198,0.09441869305071587,0.06711284122570471,0.001408333447866744,0.010601240270464442,0.035760385571259184,0.011245770627447247,0.3400937678696848,1.0,0.025475829204264753,-0.007330231723202664
active,-0.00992735436721258,0.005865669226986611,-0.0065695471456384946,-0.016866746142632262,-3.3002483234008005e-05,0.0047802581509210785,0.00991129748983678,-0.0067695181911655265,0.025857968781841337,0.025475829204264753,1.0,-0.035653248115190356
cardio,0.23815922744230858,0.008109491913122303,-0.010821058331004968,0.18165956179862644,0.0544750539268658,0.06571869614919029,0.2211472739123984,0.08930688732430267,-0.015485935661367778,-0.007330231723202664,-0.035653248115190356,1.0
